ID,Name,Latitude,Longitude,type
1,Gym,"41.794406635336145, -87.60163451669915",,University
2,Library,"41.792390957903336, -87.59979307067289",,University
3,Policy School,"41.78609606615999, -87.59385771669945",,University
4,MACS,"41.78578105164237, -87.59718863215261",,University
5,Hospital,"41.789466057245654, -87.60365454738356",,University
6,Social Work,"41.78591906799803, -87.6017121032061",,University
7,Rockefeller Chapel,"41.78870796239737, -87.59668776512703",,University
8,International House,"41.78840136131428, -87.59085511669943",,University
9,Business School,"41.789362655327864, -87.59553060505463",,University
10,Law School,"41.785148070690774, -87.59902296087716",,University
11,Residences,"41.7847391339565, -87.60039917452646",,Residence
12,Residences,"41.79965207261069, -87.59281448397809",,Residence
13,Residences,"41.79795134381451, -87.58379432599692",,Residence
14,Residences,"41.80329477680592, -87.58515996262338",,Residence
15,Residences,"41.802676646737496, -87.59232931297215",,Residence
16,Residences,"41.79250172766367, -87.59774605627521",,Residence
17,Residences,"41.78477295144397, -87.58853559091442",,Residence
18,Residences,"41.79638610777394, -87.60092326867967",,Residence
19,Residences,"41.80277801745204, -87.60330354698372",,Residence
20,Residences,"41.791383954725234, -87.59035392844316",,Residence
21,Residences,"41.79412014110249, -87.58236016962414",,Residence